2022-12-21 09:31:00.873 [main.py] INFO    | 進入VG主頁
2022-12-21 16:54:13.151 [main.py] INFO    | 進入VG主頁
2022-12-21 16:54:13.689 [main.py] INFO    | 進入VG主頁
2022-12-21 16:54:28.005 [main.py] INFO    | 進入VG主頁
2022-12-21 16:54:29.232 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-12-21 16:54:40.255 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-12-21 16:54:49.903 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-12-21 16:54:55.698 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-12-21 16:54:56.366 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-12-21 16:55:02.388 [main.py] INFO    | 有正在執行的子系統，嘗試關閉中...
2022-12-21 16:55:02.389 [main.py] INFO    | 關閉成功
2022-12-21 16:55:02.413 [main.py] INFO    | 進入VG主頁
2022-12-21 16:55:06.574 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-12-21 16:55:18.423 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-12-21 16:55:32.669 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-12-21 16:55:37.086 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-12-21 16:55:37.751 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-12-21 16:55:43.260 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_CAM_ID]的signal
2022-12-21 16:55:49.551 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_CAM_ID]的signal
2022-12-21 16:55:54.609 [main.py] INFO    | 有正在執行的子系統，嘗試關閉中...
2022-12-21 16:55:54.620 [main.py] INFO    | 關閉成功
2022-12-21 16:55:54.642 [main.py] INFO    | 進入VG主頁
2022-12-21 16:55:55.080 [main.py] INFO    | 進入VG主頁
2022-12-21 16:55:56.590 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-12-21 16:56:08.400 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-12-21 16:56:21.908 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-12-21 16:56:29.502 [main.py] INFO    | 有正在執行的子系統，嘗試關閉中...
2022-12-21 16:56:29.508 [main.py] INFO    | 關閉成功
2022-12-21 16:56:29.517 [main.py] INFO    | 進入VG主頁
2022-12-21 16:56:31.405 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-12-21 16:56:41.978 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
